Date,IVM2 Bosch Machine,DC8 C Block Basement,DC97 C Block Canteen,DC684 Topicals,DC247 CT Liquid Inh,Archive Store,C Block T15 DC124,C Block T5 DC22A,C Block T6 DC22B,C Block T16 DC150,E Block,Incoming Supply TX1 Hourly,H Block T2 DC43B,J Block T11 DC62,DC60 Stiefel,Cool Twr T17 DC156,K Block T10 DC70D,K Block T12 DC86,K Block T7 DC70A,K Block T8 DC70B,K Block T9 DC70C,L Block T13,M Block,Site Incomer,L Block Steam,IVM1 DC146,DC155 Basement,DC141 Basement,IVM2 DC940,Manor House DC761,Indigo Chiller 1,Indigo Chiller 2,43-24 Comp 3 H Blk Hourly,Air Compressor 2,Air Compressor 1,DC27-32 SSC Elec,DC3 SPS Packing Elec,O Block Elec Meter,LDT DC2 Elec,43-21 DC69 Workshop Hourly,43-27 DC29 D Blk Base Hourly,DC1 Basement,DC279 Liq Inh HVAC,DC14 Liquid Inh,43-19 Chiller 4 Sec A Hourly,43-17 Chiller 4 Sec B Hourly,43-20 Chiller 5 Sec A Hourly,IVM1 DC145,DC139 Hourly ElecUse,DC10 Elec Hour Usag,DC818 Elec Hour Usag,DC240 Electric Meter,DC819 Elec Hour Usag,DC565 Elec Meter,Chiller 1 Hourly Use,Chiller 2 Hourly Use,Chiller 3 Hourly Use,43-3 CHW PwrPact Hourly,43-5 Indigo Chiller 1 Hourly,43-28 Chiller 2,DC140 Hourly ElecUse,DC147 WFI,PurWatDistSkid Elec,PurWatGenSkid Elec,K2A Glatt Ref 2 Elec,K2A Glatt Ref 1 Elec,CHP No1 kWHr Meter,CHP No2 kWHr Meter,Power Island Parasitic Meter,LV Swbrd Daily Meter
2016-11-09 00:00:00,25,62,29,20,376.2587644,12,450,268,246,312,93,265,293,165,1727.760113,81,28,275,3413.452679,242,153,3560.071044,7,6780,4229.118151,29,25,127,122,104.5262126,136.2556539,84.92394504,1703.464471,48,112,14,26,10,8,20,14,21,234.2407598,853.2891628,180.9551675,1073.949674,2,110,49,37,21,42,3,30,2,18,10,59,41,36,31,1663.525424,9,5,31.51743028,1,1040,960,50,67
2016-11-10 00:00:00,125,275,119,64,376.2587644,54,1120,851,673,894,512,843,935,563,1727.760113,244,107,911,3413.452679,824,556,3560.071044,43,18980,4229.118151,111,113,531,459,104.5262126,136.2556539,84.92394504,1703.464471,202,407,43,100,44,46,71,61,57,234.2407598,853.2891628,1,1073.949674,2,337,229,145,70,167,11,146,2,67,25,190,140,130,119,1663.525424,39,32,2,1,3170,3330,154.6,260
2016-11-11 00:00:00,88,210,92,66,376.2587644,35,1100,788,573,839,337,849,855,397,1727.760113,205,80,660,3413.452679,618,379,3560.071044,32,15035,4229.118151,108,83,365,339,104.5262126,136.2556539,84.92394504,1703.464471,203,240,37,72,36,34,73,51,55,234.2407598,853.2891628,1,1073.949674,863.3933333,327,166,108,53,122,9,67,2,56,29,188,143,143,80,1663.525424,28,24,1,1,3040,3200,138.4,191
2016-11-12 00:00:00,99,228,59,38,376.2587644,42,980,616,401,778,383,724,681,292,1727.760113,175,106,748,3413.452679,539,318,3560.071044,23,2925,4229.118151,116,97,428,433,104.5262126,136.2556539,84.92394504,1703.464471,320,204,47,53,36,20,34,26,51,234.2407598,853.2891628,1,1073.949674,863.3933333,437,215,129,72,132,4,39,2,73,35,172,129,119,95,1663.525424,39,27,1,1,3120,3280,135.8,249
2016-11-13 00:00:00,101,147,58,70,376.2587644,44,1490,872,621,1168,395,768,696,385,1727.760113,175,110,723,3413.452679,588,329,3560.071044,17,3225,4229.118151,126,97,454,429,104.5262126,136.2556539,84.92394504,1703.464471,315,204,41,30,34,19,35,22,47,234.2407598,853.2891628,180.9551675,1073.949674,863.3933333,444,220,131,74,141,8,49,1,72,35,174,134,119,92,1663.525424,37,24,31.51743028,1,3140,3290,138.2,246
2016-11-14 00:00:00,86,194,95,84,376.2587644,23,1270,966,694,953,367,1021,978,330,1727.760113,201,107,808,3413.452679,746,426,3560.071044,29,18750,4229.118151,88,88,386,317,104.5262126,136.2556539,84.92394504,1703.464471,310,148,35,79,32,37,77,57,50,234.2407598,853.2891628,1,1073.949674,6,379,175,115,57,111,1,96,2,112,87,210,265,261,89,1663.525424,25,20,24,20.76762336,3100,3280,133.6,191
2016-11-15 00:00:00,73,197,81,72,376.2587644,23,1240,910,672,914,343,933,966,312,1727.760113,184,88,747,3413.452679,689,404,3560.071044,26,20650,4229.118151,77,93,376,325,104.5262126,136.2556539,84.92394504,1703.464471,344,132,39,69,35,33,67,52,53,234.2407598,853.2891628,180.9551675,1073.949674,863.3933333,365,168,111,55,111,8,88,1,96,71,195,229,240,82,1663.525424,25,20,5,20.76762336,2880,2990,135.6,184
2016-11-16 00:00:00,105,238,96,80,376.2587644,43,1180,882,627,886,428,820,874,495,1727.760113,192,110,1012,3413.452679,854,492,3560.071044,37,15950,4229.118151,115,124,510,448,104.5262126,136.2556539,84.92394504,1703.464471,418,174,33,80,36,38,74,48,65,234.2407598,853.2891628,2,1073.949674,863.3933333,442,236,137,64,165,8,115,3,74,50,177,151,149,109,1663.525424,31,26,1,20.76762336,2900,3050,131.4,246
2016-11-17 00:00:00,77,215,108,76,376.2587644,38,1090,943,573,861,379,880,908,443,1727.760113,242,85,768,3413.452679,667,446,3560.071044,38,17910,4229.118151,109,84,374,348,104.5262126,136.2556539,84.92394504,1703.464471,341,149,43,92,51,38,78,62,69,234.2407598,853.2891628,1,1073.949674,863.3933333,339,179,113,50,129,11,57,4,52,23,178,141,119,88,1663.525424,25,17,31.51743028,20.76762336,3150,3200,158.6,193
2016-11-18 00:00:00,101,269,110,62,376.2587644,61,1100,887,535,801,464,850,776,582,1727.760113,240,106,800,141,673,480,3560.071044,43,17450,4229.118151,152,120,543,477,104.5262126,136.2556539,84.92394504,1703.464471,329,197,37,78,69,35,77,60,87,234.2407598,853.2891628,1,1073.949674,1,426,223,146,70,158,11,83,2,71,13,174,120,89,111,1663.525424,35,28,2,3,2680,3320,147.4,243
