Date,C BLK WEST PHASE 1,D Block water medical,E BLOCK WATER,J BLOCK WATER,K BLOCK WATER,L BLOCK WATER,Main Site Water Meter,South Site Water,K Block Water
09/11/2016 00:00,3.9,3.390059363,0.1,0.1,27.54686649,23.99656947,90.32,88,21.44079383
10/11/2016 00:00,15.5,0.25,0.6,0.8,4,23.99656947,251.56,273.8,21.44079383
11/11/2016 00:00,13.1,0.59,0.7,0.1,5,23.99656947,213.24,205,21.44079383
12/11/2016 00:00,12.7,3.390059363,0.1,3.922047739,1,23.99656947,132.08,138.8,21.44079383
13/11/2016 00:00,12.5,3.390059363,2.497239264,3.922047739,1,23.99656947,159.94,164.7,21.44079383
14/11/2016 00:00,11.1,0.24,0.5,0.4,4,23.99656947,259.68,250.7,21.44079383
15/11/2016 00:00,6.7,0.73,0.3,0.3,1,23.99656947,231.34,213.9,21.44079383
16/11/2016 00:00,9.1,0.48,0.4,0.1,4,23.99656947,188.84,197.2,21.44079383
17/11/2016 00:00,5.3,0.42,0.7,0.2,5,23.99656947,162.7,169.2,21.44079383
18/11/2016 00:00,5.6,0.45,0.7,0.3,3,23.99656947,149.58,150.8,21.44079383
19/11/2016 00:00,0.6,3.390059363,2.497239264,3.922047739,3,23.99656947,91.84,91.6,21.44079383
20/11/2016 00:00,0.9,3.390059363,2.497239264,3.922047739,2,23.99656947,86.76,81.2,21.44079383
21/11/2016 00:00,5.1,0.31,0.8,0.4,3,23.99656947,170.16,168.9,21.44079383
22/11/2016 00:00,3.8,0.6,0.7,0.5,1,23.99656947,212.68,204.6,21.44079383
23/11/2016 00:00,8.9,0.39,0.6,0.5,4,23.99656947,239.74,230.9,21.44079383
24/11/2016 00:00,9.2,1.44,0.7,0.8,2,23.99656947,198.3,189.4,21.44079383
25/11/2016 00:00,4.6,0.24,0.1,0.1,3,23.99656947,144.08,137,21.44079383
26/11/2016 00:00,1.6,0.04,2.497239264,3.922047739,2,23.99656947,112.36,117.7,21.44079383
27/11/2016 00:00,1.8,3.390059363,2.497239264,3.922047739,2,23.99656947,108.72,110.4,21.44079383
28/11/2016 00:00,5.6,0.89,0.6,0.2,27.54686649,23.99656947,190.96,188.8,21.44079383
29/11/2016 00:00,7.8,0.18,0.7,0.4,4,23.99656947,216.68,238.3,21.44079383
30/11/2016 00:00,5.5,0.18,0.6,0.4,6,23.99656947,228.16,234.3,21.44079383
01/12/2016 00:00,5.6,0.44,0.8,0.7,6,23.99656947,237,229.6,21.44079383
02/12/2016 00:00,8.7,0.51,0.5,0.4,1,23.99656947,172.48,173.4,21.44079383
03/12/2016 00:00,0.1,3.390059363,2.497239264,3.922047739,1,23.99656947,82.36,86.9,21.44079383
04/12/2016 00:00,2.2,3.390059363,2.497239264,3.922047739,3,23.99656947,119.18,109.6,21.44079383
05/12/2016 00:00,4.5,0.26,0.9,0.3,2,23.99656947,208.44,202.5,21.44079383
06/12/2016 00:00,7.8,0.39,0.6,0.4,5,23.99656947,230,230.4,21.44079383
07/12/2016 00:00,7.8,0.35,0.5,0.7,7,23.99656947,234.92,243.2,21.44079383
08/12/2016 00:00,7.4,0.92,0.6,0.5,5,23.99656947,230.98,218.8,21.44079383
09/12/2016 00:00,6.5,0.47,0.4,3.922047739,3,23.99656947,179.62,178.6,21.44079383
10/12/2016 00:00,1.1,3.390059363,2.497239264,3.922047739,1,23.99656947,75.4,80.4,21.44079383
11/12/2016 00:00,2.2,3.390059363,2.497239264,0.1,2,23.99656947,132.34,130,21.44079383
12/12/2016 00:00,9.1,0.58,0.4,0.3,4,23.99656947,163.36,163.6,21.44079383
