Date,DC8 C Block Basement,DC97 C Block Canteen,C Block T15 DC124,C Block T5 DC22A,C Block T6 DC22B,C Block T16 DC150
2016-11-09 00:00:00,62,29,450,268,246,312
2016-11-10 00:00:00,275,119,1120,851,673,894
2016-11-11 00:00:00,210,92,1100,788,573,839
2016-11-12 00:00:00,228,59,980,616,401,778
2016-11-13 00:00:00,147,58,1490,872,621,1168
2016-11-14 00:00:00,194,95,1270,966,694,953
2016-11-15 00:00:00,197,81,1240,910,672,914
2016-11-16 00:00:00,238,96,1180,882,627,886
2016-11-17 00:00:00,215,108,1090,943,573,861
2016-11-18 00:00:00,269,110,1100,887,535,801
2016-11-19 00:00:00,185,51,1040,702,424,755
2016-11-20 00:00:00,249,69,1040,734,437,736
2016-11-21 00:00:00,282,129,1070,940,603,831
2016-11-22 00:00:00,193,112,1110,902,638,842
2016-11-23 00:00:00,191,118,1230,1060,768,928
2016-11-24 00:00:00,247,118,1250,1045,733,955
2016-11-25 00:00:00,158,73,1100,752,561,848
2016-11-26 00:00:00,217,75,1210,719,544,889
2016-11-27 00:00:00,224,84,1170,759,542,858
2016-11-28 00:00:00,190,96,1230,981,695,939
2016-11-29 00:00:00,237,108,1230,987,704,980
2016-11-30 00:00:00,246,118,1170,976,656,914
2016-12-01 00:00:00,193,105,1030,976,648,891
2016-12-02 00:00:00,264,118,1570,1233,780,1256
2016-12-03 00:00:00,243,57,1140,770,476,870
2016-12-04 00:00:00,240,60,1130,826,514,836
2016-12-05 00:00:00,216,104,1280,1080,694,970
2016-12-06 00:00:00,281,121,1340,1088,698,974
2016-12-07 00:00:00,280,124,1340,1069,656,957
2016-12-08 00:00:00,209,93,1300,992,697,997
2016-12-09 00:00:00,264,106,1250,913,599,967
2016-12-10 00:00:00,177,45,1170,723,458,869
2016-12-11 00:00:00,228,63,1100,737,479,876
2016-12-12 00:00:00,260,115,1150,911,657,981
2016-12-13 00:00:00,209,100,1190,966,711,989
2016-12-14 00:00:00,217,123,1280,1169,723,967
2016-12-15 00:00:00,272,130,1300,1099,684,952
2016-12-16 00:00:00,122,32,800,652,402,626
2016-12-19 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-20 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-22 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-23 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-24 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-25 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-26 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-27 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-28 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-29 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-30 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2016-12-31 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-01 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-02 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-03 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-04 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-05 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-06 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-07 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-08 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-09 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-10 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-11 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
2017-01-12 00:00:00,1693.056549,990.384847,8680.783929,7510.341071,3870.028266,6258.025595
