Date,CHP No1 kWHr Meter,CHP No2 kWHr Meter
2016-11-09 00:00:00,1040,960
2016-11-10 00:00:00,3170,3330
2016-11-11 00:00:00,3040,3200
2016-11-12 00:00:00,3120,3280
2016-11-13 00:00:00,3140,3290
2016-11-14 00:00:00,3100,3280
2016-11-15 00:00:00,2880,2990
2016-11-16 00:00:00,2900,3050
2016-11-17 00:00:00,3150,3200
2016-11-18 00:00:00,2680,3320
2016-11-19 00:00:00,3260,3400
2016-11-20 00:00:00,3130,3320
2016-11-21 00:00:00,3160,3490
2016-11-22 00:00:00,3290,3440
2016-11-23 00:00:00,3320,2400
2016-11-24 00:00:00,3180,3460
2016-11-25 00:00:00,2820,2970
2016-11-26 00:00:00,3310,3470
2016-11-27 00:00:00,3190,3280
2016-11-28 00:00:00,3290,3340
2016-11-29 00:00:00,3320,3460
2016-11-30 00:00:00,3190,3320
2016-12-01 00:00:00,3310,3450
2016-12-02 00:00:00,3420,3560
2016-12-03 00:00:00,3430,3590
2016-12-04 00:00:00,3430,3590
2016-12-05 00:00:00,3400,3570
2016-12-06 00:00:00,2580,3590
2016-12-07 00:00:00,3590,3550
2016-12-08 00:00:00,3540,3540
2016-12-09 00:00:00,3460,3440
2016-12-10 00:00:00,3590,3610
2016-12-11 00:00:00,3460,3440
2016-12-12 00:00:00,3650,3650
2016-12-13 00:00:00,3640,3650
2016-12-14 00:00:00,3620,3460
2016-12-15 00:00:00,3670,3620
2016-12-16 00:00:00,1330,1320
2016-12-19 00:00:00,17310,16160
2016-12-20 00:00:00,17220,17230
2016-12-22 00:00:00,25012.82575,4610
2016-12-23 00:00:00,25012.82575,6850
2016-12-24 00:00:00,25012.82575,8000
2016-12-25 00:00:00,25012.82575,6860
2016-12-26 00:00:00,25012.82575,6840
2016-12-27 00:00:00,25012.82575,7690
2016-12-28 00:00:00,25012.82575,6790
2016-12-29 00:00:00,25012.82575,6900
2016-12-30 00:00:00,25012.82575,8150
2016-12-31 00:00:00,25012.82575,6700
2017-01-01 00:00:00,25012.82575,6880
2017-01-02 00:00:00,25012.82575,8030
2017-01-03 00:00:00,25012.82575,5570
2017-01-04 00:00:00,25012.82575,5290
2017-01-05 00:00:00,25012.82575,3499
2017-01-06 00:00:00,25012.82575,4610
2017-01-07 00:00:00,25012.82575,3450
2017-01-08 00:00:00,25012.82575,3460
2017-01-09 00:00:00,25012.82575,3300
2017-01-10 00:00:00,25012.82575,3230
2017-01-11 00:00:00,25012.82575,2280
2017-01-12 00:00:00,25012.82575,860
2017-01-13 00:00:00,25012.82575,3460
2017-01-14 00:00:00,25012.82575,3460
2017-01-15 00:00:00,25012.82575,3600
2017-01-16 00:00:00,25012.82575,12770
2017-01-17 00:00:00,25012.82575,12640
2017-01-18 00:00:00,25012.82575,8110
2017-01-19 00:00:00,25012.82575,27660
2017-01-20 00:00:00,11620,23160
2017-01-21 00:00:00,27770,27820
2017-01-22 00:00:00,27780,24400
2017-01-23 00:00:00,27720,27880
2017-01-24 00:00:00,27530,27670
2017-01-25 00:00:00,15840,16530
2017-01-26 00:00:00,27540,26500
2017-01-27 00:00:00,27660,27830
2017-01-28 00:00:00,27750,27940
2017-01-29 00:00:00,20800,20940
2017-02-01 00:00:00,17270,17420
2017-02-02 00:00:00,10180,10330
2017-02-03 00:00:00,12610,12760
2017-02-04 00:00:00,27390,27660
2017-02-05 00:00:00,27780,27980
2017-02-06 00:00:00,27600,27730
2017-02-07 00:00:00,27730,27900
2017-02-08 00:00:00,27710,27900
2017-02-09 00:00:00,14270,16830
2017-02-10 00:00:00,8850,9360
2017-02-11 00:00:00,26160,27670
2017-02-12 00:00:00,26080,27550
2017-02-13 00:00:00,26050,27590
2017-02-14 00:00:00,26210,27720
2017-02-15 00:00:00,26310,27850
2017-02-16 00:00:00,26050,11600
2017-02-17 00:00:00,26320,25016.74463
2017-02-18 00:00:00,25990,25016.74463
2017-02-19 00:00:00,25980,25016.74463
2017-02-20 00:00:00,25930,25016.74463
2017-02-21 00:00:00,26000,25016.74463
2017-02-22 00:00:00,26030,25016.74463
2017-02-23 00:00:00,26190,3150
2017-02-24 00:00:00,26190,27720
2017-02-25 00:00:00,25940,26710
2017-02-26 00:00:00,25870,26700
2017-02-27 00:00:00,26190,26950
2017-02-28 00:00:00,19400,27760
2017-03-01 00:00:00,27540,27680
2017-03-02 00:00:00,27420,27580
2017-03-03 00:00:00,27570,27760
2017-03-04 00:00:00,27500,27680
2017-03-05 00:00:00,27590,27770
2017-03-06 00:00:00,27610,27800
2017-03-07 00:00:00,27520,27660
2017-03-08 00:00:00,26970,27080
2017-03-09 00:00:00,27420,27210
2017-03-10 00:00:00,26610,26950
2017-03-11 00:00:00,27550,26880
2017-03-12 00:00:00,27490,27610
2017-03-13 00:00:00,27360,27460
2017-03-14 00:00:00,27230,26500
2017-03-15 00:00:00,22870,20420
2017-03-16 00:00:00,20580,21620
2017-03-17 00:00:00,27290,27410
2017-03-18 00:00:00,27480,26820
2017-03-19 00:00:00,26660,26570
