Date,CHP No1 Gas Meter,CHP No2 Gas Meter
2016-11-09 00:00:00,276,282
2016-11-10 00:00:00,807,827
2016-11-11 00:00:00,824,848
2016-11-12 00:00:00,822,844
2016-11-13 00:00:00,794,850
2016-11-14 00:00:00,823,840
2016-11-15 00:00:00,737,763
2016-11-16 00:00:00,730,780
2016-11-17 00:00:00,831,793
2016-11-18 00:00:00,749,856
2016-11-19 00:00:00,846,837
2016-11-20 00:00:00,852,878
2016-11-21 00:00:00,755,885
2016-11-22 00:00:00,778,874
2016-11-23 00:00:00,855,624
2016-11-24 00:00:00,866,863
2016-11-25 00:00:00,743,776
2016-11-26 00:00:00,855,851
2016-11-27 00:00:00,854,838
2016-11-28 00:00:00,854,884
2016-11-29 00:00:00,868,819
2016-11-30 00:00:00,864,893
2016-12-01 00:00:00,873,897
2016-12-02 00:00:00,849,882
2016-12-03 00:00:00,877,919
2016-12-04 00:00:00,882,918
2016-12-05 00:00:00,885,913
2016-12-06 00:00:00,691,922
2016-12-07 00:00:00,901,914
2016-12-08 00:00:00,923,899
2016-12-09 00:00:00,899,848
2016-12-10 00:00:00,906,880
2016-12-11 00:00:00,933,883
2016-12-12 00:00:00,911,938
2016-12-13 00:00:00,868,940
2016-12-14 00:00:00,905,890
2016-12-15 00:00:00,949,940
2016-12-16 00:00:00,347,346
2016-12-19 00:00:00,4493,4454
2016-12-20 00:00:00,4507,4463
2016-12-22 00:00:00,1199,6081.302839
2016-12-23 00:00:00,1802,6081.302839
2016-12-24 00:00:00,2102,6081.302839
2016-12-25 00:00:00,1803,6081.302839
2016-12-26 00:00:00,1802,6081.302839
2016-12-27 00:00:00,2136,6081.302839
2016-12-28 00:00:00,1780,6081.302839
2016-12-29 00:00:00,1791,6081.302839
2016-12-30 00:00:00,2115,6081.302839
2016-12-31 00:00:00,1749,6081.302839
2017-01-01 00:00:00,1794,6081.302839
2017-01-02 00:00:00,2131,6081.302839
2017-01-03 00:00:00,1455,6081.302839
2017-01-04 00:00:00,1527,6081.302839
2017-01-05 00:00:00,811,6081.302839
2017-01-06 00:00:00,1195,6081.302839
2017-01-07 00:00:00,897,6081.302839
2017-01-08 00:00:00,893,6081.302839
2017-01-09 00:00:00,857,6081.302839
2017-01-10 00:00:00,895,6081.302839
2017-01-11 00:00:00,623,6081.302839
2017-01-12 00:00:00,298,6081.302839
2017-01-13 00:00:00,615,6081.302839
2017-01-14 00:00:00,920,6081.302839
2017-01-15 00:00:00,879,6081.302839
2017-01-16 00:00:00,3682,2343
2017-01-17 00:00:00,3074,3228
2017-01-18 00:00:00,2148,2631
2017-01-19 00:00:00,7361,7041
2017-01-20 00:00:00,6127,5864
2017-01-21 00:00:00,7414,7108
2017-01-22 00:00:00,7392,6223
2017-01-23 00:00:00,7349,7073
2017-01-24 00:00:00,7366,7073
2017-01-25 00:00:00,4517,4222
2017-01-26 00:00:00,7329,6777
2017-01-27 00:00:00,7383,7127
2017-01-28 00:00:00,7338,7084
2017-01-29 00:00:00,5506,5312
2017-02-01 00:00:00,4545,4402
2017-02-02 00:00:00,2697,2630
2017-02-03 00:00:00,3314,3221
2017-02-04 00:00:00,7262,7038
2017-02-05 00:00:00,7361,7117
2017-02-06 00:00:00,7419,7162
2017-02-07 00:00:00,7381,7137
2017-02-08 00:00:00,7403,7166
2017-02-09 00:00:00,3869,4380
2017-02-10 00:00:00,2429,2410
2017-02-11 00:00:00,7277,7206
2017-02-12 00:00:00,7174,7143
2017-02-13 00:00:00,7160,7124
2017-02-14 00:00:00,7185,7136
2017-02-15 00:00:00,7128,7103
2017-02-16 00:00:00,7046,2983
2017-02-17 00:00:00,7090,6081.302839
2017-02-18 00:00:00,7167,6081.302839
2017-02-19 00:00:00,7198,6081.302839
2017-02-20 00:00:00,7140,6081.302839
