Date,43-21 DC69 Workshop Hourly,43-27 DC29 D Blk Base Hourly
2016-11-09 00:00:00,20,14
2016-11-10 00:00:00,71,61
2016-11-11 00:00:00,73,51
2016-11-12 00:00:00,34,26
2016-11-13 00:00:00,35,22
2016-11-14 00:00:00,77,57
2016-11-15 00:00:00,67,52
2016-11-16 00:00:00,74,48
2016-11-17 00:00:00,78,62
2016-11-18 00:00:00,77,60
2016-11-19 00:00:00,44,33
2016-11-20 00:00:00,48,37
2016-11-21 00:00:00,90,61
2016-11-22 00:00:00,75,62
2016-11-23 00:00:00,87,63
2016-11-24 00:00:00,84,68
2016-11-25 00:00:00,61,47
2016-11-26 00:00:00,45,38
2016-11-27 00:00:00,40,31
2016-11-28 00:00:00,82,65
2016-11-29 00:00:00,83,59
2016-11-30 00:00:00,86,63
2016-12-01 00:00:00,89,62
2016-12-02 00:00:00,81,58
2016-12-03 00:00:00,48,37
2016-12-04 00:00:00,50,32
2016-12-05 00:00:00,85,59
2016-12-06 00:00:00,97,62
2016-12-07 00:00:00,94,60
2016-12-08 00:00:00,90,56
2016-12-09 00:00:00,82,56
2016-12-10 00:00:00,41,31
2016-12-11 00:00:00,36,30
2016-12-12 00:00:00,85,59
2016-12-13 00:00:00,92,59
2016-12-14 00:00:00,85,52
2016-12-15 00:00:00,86,59
2016-12-16 00:00:00,30,22
2016-12-19 00:00:00,489,331
2016-12-20 00:00:00,414,234
2016-12-22 00:00:00,506.077619,86
2016-12-23 00:00:00,506.077619,84
2016-12-24 00:00:00,506.077619,41
2016-12-25 00:00:00,506.077619,41
2016-12-26 00:00:00,506.077619,58
2016-12-27 00:00:00,506.077619,51
2016-12-28 00:00:00,506.077619,56
2016-12-29 00:00:00,506.077619,58
2016-12-30 00:00:00,506.077619,56
2016-12-31 00:00:00,506.077619,47
2017-01-01 00:00:00,506.077619,56
2017-01-02 00:00:00,506.077619,54
2017-01-03 00:00:00,506.077619,93
2017-01-04 00:00:00,506.077619,144
2017-01-05 00:00:00,506.077619,116
2017-01-06 00:00:00,506.077619,49
2017-01-07 00:00:00,506.077619,22
2017-01-08 00:00:00,506.077619,23
2017-01-09 00:00:00,506.077619,64
2017-01-10 00:00:00,506.077619,65
2017-01-11 00:00:00,506.077619,52
2017-01-12 00:00:00,506.077619,50
2017-01-13 00:00:00,506.077619,52
2017-01-14 00:00:00,506.077619,26
2017-01-15 00:00:00,506.077619,21
2017-01-16 00:00:00,506.077619,247
2017-01-17 00:00:00,506.077619,119
2017-01-18 00:00:00,506.077619,95
2017-01-19 00:00:00,506.077619,483
2017-01-20 00:00:00,222,314
2017-01-21 00:00:00,329,235
2017-01-22 00:00:00,321,227
2017-01-23 00:00:00,649,457
2017-01-24 00:00:00,669,456
2017-01-25 00:00:00,352,252
2017-01-26 00:00:00,717,457
2017-01-27 00:00:00,673,398
2017-01-28 00:00:00,415,260
2017-01-29 00:00:00,246,154
2017-02-01 00:00:00,507,361
2017-02-02 00:00:00,222,132
2017-02-03 00:00:00,269,213
2017-02-04 00:00:00,283,216
2017-02-05 00:00:00,251,202
2017-02-06 00:00:00,680,430
2017-02-07 00:00:00,647,448
2017-02-08 00:00:00,667,465
2017-02-09 00:00:00,460,307
2017-02-10 00:00:00,153,109
2017-02-11 00:00:00,342,208
2017-02-12 00:00:00,305,207
2017-02-13 00:00:00,665,473
2017-02-14 00:00:00,697,444
2017-02-15 00:00:00,676,440
2017-02-16 00:00:00,648,437
2017-02-17 00:00:00,606,415
2017-02-18 00:00:00,317,233
2017-02-19 00:00:00,366,232
2017-02-20 00:00:00,655,432
2017-02-21 00:00:00,627,416
2017-02-22 00:00:00,626,424
2017-02-23 00:00:00,633,417
2017-02-24 00:00:00,618,398
2017-02-25 00:00:00,333,197
2017-02-26 00:00:00,333,176
2017-02-27 00:00:00,637,410
2017-02-28 00:00:00,687,431
2017-03-01 00:00:00,664,434
2017-03-02 00:00:00,634,435
2017-03-03 00:00:00,611,410
2017-03-04 00:00:00,350,243
2017-03-05 00:00:00,388,240
2017-03-06 00:00:00,692,421
2017-03-07 00:00:00,634,445
2017-03-08 00:00:00,634,438
2017-03-09 00:00:00,605,463
2017-03-10 00:00:00,619,439
2017-03-11 00:00:00,359,236
2017-03-12 00:00:00,348,210
2017-03-13 00:00:00,646,425
2017-03-14 00:00:00,646,441
2017-03-15 00:00:00,655,422
2017-03-16 00:00:00,678,453
2017-03-17 00:00:00,596,440
2017-03-18 00:00:00,248,254
2017-03-19 00:00:00,292,276
2017-03-20 00:00:00,636,457
2017-03-21 00:00:00,647,446
2017-03-22 00:00:00,643,462
2017-03-23 00:00:00,654,488
2017-03-24 00:00:00,584,435
2017-03-25 00:00:00,270,253
2017-03-26 00:00:00,287,210
2017-03-27 00:00:00,655,434
2017-03-28 00:00:00,695,452
2017-03-29 00:00:00,546,371
2017-03-30 00:00:00,642,457
2017-03-31 00:00:00,652,434
2017-04-01 00:00:00,361,263
2017-04-02 00:00:00,315,236
2017-04-03 00:00:00,638,442
2017-04-04 00:00:00,687,423
2017-04-05 00:00:00,694,436
2017-04-06 00:00:00,633,470
2017-04-07 00:00:00,642,454
2017-04-08 00:00:00,337,198
2017-04-09 00:00:00,340,190
2017-04-10 00:00:00,641,442
2017-04-11 00:00:00,668,460
2017-04-12 00:00:00,645,454
