Date,Degree Day Cool 5
09/11/2016,0
10/11/2016,0.1
11/11/2016,1.26
12/11/2016,2.53
13/11/2016,1.77
14/11/2016,6.43
15/11/2016,4.66
16/11/2016,1.74
17/11/2016,0
18/11/2016,0
19/11/2016,0
20/11/2016,0
21/11/2016,0
22/11/2016,0.45
23/11/2016,0.22
24/11/2016,0.98
25/11/2016,0.03
26/11/2016,1.33
27/11/2016,1.54
28/11/2016,0.77
29/11/2016,0
30/11/2016,1.15
01/12/2016,2.29
02/12/2016,1.53
03/12/2016,0.82
04/12/2016,0.65
05/12/2016,0.13
06/12/2016,0.02
07/12/2016,6.32
08/12/2016,5.17
09/12/2016,5.77
10/12/2016,3.74
11/12/2016,2.25
12/12/2016,0.87
13/12/2016,2.16
14/12/2016,3.16
15/12/2016,2.14
16/12/2016,1.88
17/12/2016,0
18/12/2016,0
19/12/2016,0
20/12/2016,0
21/12/2016,0
22/12/2016,0
23/12/2016,0
24/12/2016,0
25/12/2016,0
26/12/2016,0
27/12/2016,0
28/12/2016,0
29/12/2016,0
30/12/2016,0
31/12/2016,0
01/01/2017,0
02/01/2017,0
03/01/2017,0
04/01/2017,0
05/01/2017,0
06/01/2017,0
07/01/2017,0
08/01/2017,0
09/01/2017,0
10/01/2017,0
11/01/2017,0
12/01/2017,0
13/01/2017,0
14/01/2017,0
15/01/2017,0
16/01/2017,0.49
17/01/2017,0.52
18/01/2017,0.64
19/01/2017,1.35
20/01/2017,0.61
21/01/2017,0
22/01/2017,0
23/01/2017,0.13
24/01/2017,2.04
25/01/2017,0.92
26/01/2017,0
27/01/2017,0
28/01/2017,0
29/01/2017,0.83
30/01/2017,0
31/01/2017,0
01/02/2017,1.88
02/02/2017,1.32
03/02/2017,1.4
04/02/2017,0.43
05/02/2017,0.5
06/02/2017,0.07
07/02/2017,0.8
08/02/2017,0.01
09/02/2017,0
10/02/2017,0
11/02/2017,0
12/02/2017,0
13/02/2017,0.45
14/02/2017,1.18
15/02/2017,2.58
16/02/2017,1.89
17/02/2017,3.08
18/02/2017,3.73
19/02/2017,3.09
20/02/2017,4.61
21/02/2017,2.83
22/02/2017,1.39
23/02/2017,0.21
24/02/2017,0.48
25/02/2017,2.86
26/02/2017,2.09
27/02/2017,0.98
28/02/2017,0.47
01/03/2017,0.37
02/03/2017,0.31
03/03/2017,1.17
04/03/2017,2.61
05/03/2017,1.95
06/03/2017,1.38
07/03/2017,1.39
08/03/2017,2.17
09/03/2017,2.39
10/03/2017,3.59
11/03/2017,4.97
12/03/2017,3.9
13/03/2017,2.85
14/03/2017,4.8
15/03/2017,3.13
16/03/2017,2.72
17/03/2017,1.3
18/03/2017,4.69
19/03/2017,4.28
20/03/2017,2.24
21/03/2017,0.08
22/03/2017,0.12
23/03/2017,1.86
24/03/2017,2.92
25/03/2017,3.93
26/03/2017,3.12
27/03/2017,3
28/03/2017,4.12
29/03/2017,4.93
30/03/2017,8.51
31/03/2017,7.36
01/04/2017,6.44
02/04/2017,4.92
03/04/2017,4.67
04/04/2017,4.8
05/04/2017,4.08
06/04/2017,2.94
07/04/2017,3.87
08/04/2017,4.97
09/04/2017,5.06
