Date,E Block
2016-11-09 00:00:00,93
2016-11-10 00:00:00,512
2016-11-11 00:00:00,337
2016-11-12 00:00:00,383
2016-11-13 00:00:00,395
2016-11-14 00:00:00,367
2016-11-15 00:00:00,343
2016-11-16 00:00:00,428
2016-11-17 00:00:00,379
2016-11-18 00:00:00,464
2016-11-19 00:00:00,386
2016-11-20 00:00:00,384
2016-11-21 00:00:00,514
2016-11-22 00:00:00,425
2016-11-23 00:00:00,415
2016-11-24 00:00:00,546
2016-11-25 00:00:00,299
2016-11-26 00:00:00,397
2016-11-27 00:00:00,284
2016-11-28 00:00:00,367
2016-11-29 00:00:00,455
2016-11-30 00:00:00,497
2016-12-01 00:00:00,436
2016-12-02 00:00:00,504
2016-12-03 00:00:00,449
2016-12-04 00:00:00,436
2016-12-05 00:00:00,425
2016-12-06 00:00:00,532
2016-12-07 00:00:00,428
2016-12-08 00:00:00,376
2016-12-09 00:00:00,484
2016-12-10 00:00:00,335
2016-12-11 00:00:00,430
2016-12-12 00:00:00,510
2016-12-13 00:00:00,418
2016-12-14 00:00:00,421
2016-12-15 00:00:00,536
2016-12-16 00:00:00,239
2016-12-19 00:00:00,3022.479943
2016-12-20 00:00:00,3022.479943
2016-12-22 00:00:00,3022.479943
2016-12-23 00:00:00,3022.479943
2016-12-24 00:00:00,3022.479943
2016-12-25 00:00:00,3022.479943
2016-12-26 00:00:00,3022.479943
2016-12-27 00:00:00,3022.479943
2016-12-28 00:00:00,3022.479943
2016-12-29 00:00:00,3022.479943
2016-12-30 00:00:00,3022.479943
2016-12-31 00:00:00,3022.479943
2017-01-01 00:00:00,3022.479943
2017-01-02 00:00:00,3022.479943
2017-01-03 00:00:00,3022.479943
2017-01-04 00:00:00,3022.479943
2017-01-05 00:00:00,3022.479943
2017-01-06 00:00:00,3022.479943
2017-01-07 00:00:00,3022.479943
2017-01-08 00:00:00,3022.479943
2017-01-09 00:00:00,3022.479943
2017-01-10 00:00:00,3022.479943
2017-01-11 00:00:00,3022.479943
2017-01-12 00:00:00,3022.479943
2017-01-13 00:00:00,3022.479943
2017-01-14 00:00:00,3022.479943
2017-01-15 00:00:00,3022.479943
2017-01-16 00:00:00,1123
2017-01-17 00:00:00,1362
2017-01-18 00:00:00,928
2017-01-19 00:00:00,3705
2017-01-20 00:00:00,2836
2017-01-21 00:00:00,3071
2017-01-22 00:00:00,3030
2017-01-23 00:00:00,3606
2017-01-24 00:00:00,3673
2017-01-25 00:00:00,1948
2017-01-26 00:00:00,3748
2017-01-27 00:00:00,3588
2017-01-28 00:00:00,3007
2017-01-29 00:00:00,2250
2017-02-01 00:00:00,2380
2017-02-02 00:00:00,1377
2017-02-03 00:00:00,1553
2017-02-04 00:00:00,2918
2017-02-05 00:00:00,2966
2017-02-06 00:00:00,3573
2017-02-07 00:00:00,3733
2017-02-08 00:00:00,3632
2017-02-09 00:00:00,2373
2017-02-10 00:00:00,1046
2017-02-11 00:00:00,3027
2017-02-12 00:00:00,3035
2017-02-13 00:00:00,3636
2017-02-14 00:00:00,3719
2017-02-15 00:00:00,3651
2017-02-16 00:00:00,3767
2017-02-17 00:00:00,3557
2017-02-18 00:00:00,2975
2017-02-19 00:00:00,2961
2017-02-20 00:00:00,3537
2017-02-21 00:00:00,3581
2017-02-22 00:00:00,3551
2017-02-23 00:00:00,3580
2017-02-24 00:00:00,3430
2017-02-25 00:00:00,3046
2017-02-26 00:00:00,2910
2017-02-27 00:00:00,3363
2017-02-28 00:00:00,3643
2017-03-01 00:00:00,3556
2017-03-02 00:00:00,3649
2017-03-03 00:00:00,3513
2017-03-04 00:00:00,2933
2017-03-05 00:00:00,2990
2017-03-06 00:00:00,3546
2017-03-07 00:00:00,3620
2017-03-08 00:00:00,3497
2017-03-09 00:00:00,3623
