Date,Site Incomer
2016-11-09 00:00:00,6780
2016-11-10 00:00:00,18980
2016-11-11 00:00:00,15035
2016-11-12 00:00:00,2925
2016-11-13 00:00:00,3225
2016-11-14 00:00:00,18750
2016-11-15 00:00:00,20650
2016-11-16 00:00:00,15950
2016-11-17 00:00:00,17910
2016-11-18 00:00:00,17450
2016-11-19 00:00:00,2625
2016-11-20 00:00:00,2475
2016-11-21 00:00:00,15665
2016-11-22 00:00:00,15825
2016-11-23 00:00:00,28455
2016-11-24 00:00:00,17690
2016-11-25 00:00:00,11120
2016-11-26 00:00:00,3925
2016-11-27 00:00:00,5420
2016-11-28 00:00:00,18080
2016-11-29 00:00:00,16830
2016-11-30 00:00:00,18115
2016-12-01 00:00:00,20300
2016-12-02 00:00:00,16405
2016-12-03 00:00:00,2895
2016-12-04 00:00:00,3520
2016-12-05 00:00:00,18915
2016-12-06 00:00:00,26985
2016-12-07 00:00:00,20580
2016-12-08 00:00:00,20795
2016-12-09 00:00:00,17485
2016-12-10 00:00:00,3025
2016-12-11 00:00:00,4230
2016-12-12 00:00:00,18120
2016-12-13 00:00:00,20395
2016-12-14 00:00:00,21015
2016-12-15 00:00:00,18405
2016-12-16 00:00:00,10485
2016-12-19 00:00:00,22044.07435
2016-12-20 00:00:00,22044.07435
2016-12-22 00:00:00,22044.07435
2016-12-23 00:00:00,22044.07435
2016-12-24 00:00:00,22044.07435
2016-12-25 00:00:00,22044.07435
2016-12-26 00:00:00,22044.07435
2016-12-27 00:00:00,22044.07435
2016-12-28 00:00:00,22044.07435
2016-12-29 00:00:00,22044.07435
2016-12-30 00:00:00,22044.07435
2016-12-31 00:00:00,22044.07435
2017-01-01 00:00:00,22044.07435
2017-01-02 00:00:00,22044.07435
2017-01-03 00:00:00,22044.07435
2017-01-04 00:00:00,22044.07435
2017-01-05 00:00:00,22044.07435
2017-01-06 00:00:00,22044.07435
2017-01-07 00:00:00,22044.07435
2017-01-08 00:00:00,22044.07435
2017-01-09 00:00:00,22044.07435
2017-01-10 00:00:00,22044.07435
2017-01-11 00:00:00,22044.07435
2017-01-12 00:00:00,22044.07435
2017-01-13 00:00:00,22044.07435
2017-01-14 00:00:00,22044.07435
2017-01-15 00:00:00,22044.07435
2017-01-16 00:00:00,22044.07435
2017-01-17 00:00:00,22044.07435
2017-01-18 00:00:00,22044.07435
2017-01-19 00:00:00,22044.07435
2017-01-20 00:00:00,4120
2017-01-21 00:00:00,3600
2017-01-22 00:00:00,7813
2017-01-23 00:00:00,15507
2017-01-24 00:00:00,15443
2017-01-25 00:00:00,7630
2017-01-26 00:00:00,17403
2017-01-27 00:00:00,13500
2017-01-28 00:00:00,3500
2017-01-29 00:00:00,3100
2017-02-01 00:00:00,13900
2017-02-02 00:00:00,4500
2017-02-03 00:00:00,6700
2017-02-04 00:00:00,3700
2017-02-05 00:00:00,4400
2017-02-06 00:00:00,18000
