Date,Main Site Corrected Gas Meter
2016-11-09 00:00:00,239700
2016-11-10 00:00:00,707800
2016-11-11 00:00:00,668700
2016-11-12 00:00:00,618100
2016-11-13 00:00:00,623000
2016-11-14 00:00:00,665400
2016-11-15 00:00:00,600400
2016-11-16 00:00:00,614100
2016-11-17 00:00:00,725400
2016-11-18 00:00:00,656900
2016-11-19 00:00:00,653900
2016-11-20 00:00:00,661500
2016-11-21 00:00:00,724800
2016-11-22 00:00:00,656000
2016-11-23 00:00:00,655800
2016-11-24 00:00:00,668400
2016-11-25 00:00:00,619300
2016-11-26 00:00:00,644300
2016-11-27 00:00:00,617800
2016-11-28 00:00:00,711400
2016-11-29 00:00:00,730400
2016-11-30 00:00:00,693100
2016-12-01 00:00:00,687200
2016-12-02 00:00:00,670600
2016-12-03 00:00:00,632900
2016-12-04 00:00:00,617100
2016-12-05 00:00:00,718400
2016-12-06 00:00:00,740900
2016-12-07 00:00:00,626200
2016-12-08 00:00:00,643100
2016-12-09 00:00:00,653400
2016-12-10 00:00:00,606900
2016-12-11 00:00:00,631400
2016-12-12 00:00:00,693300
2016-12-13 00:00:00,697300
2016-12-14 00:00:00,702200
2016-12-15 00:00:00,702800
2016-12-16 00:00:00,420800
2016-12-19 00:00:00,437300
2016-12-20 00:00:00,402000
2016-12-22 00:00:00,617431.7965
2016-12-23 00:00:00,617431.7965
2016-12-24 00:00:00,617431.7965
2016-12-25 00:00:00,617431.7965
2016-12-26 00:00:00,617431.7965
2016-12-27 00:00:00,617431.7965
2016-12-28 00:00:00,617431.7965
2016-12-29 00:00:00,617431.7965
2016-12-30 00:00:00,617431.7965
2016-12-31 00:00:00,617431.7965
2017-01-01 00:00:00,617431.7965
2017-01-02 00:00:00,617431.7965
2017-01-03 00:00:00,617431.7965
2017-01-04 00:00:00,617431.7965
2017-01-05 00:00:00,617431.7965
2017-01-06 00:00:00,617431.7965
2017-01-07 00:00:00,617431.7965
2017-01-08 00:00:00,617431.7965
2017-01-09 00:00:00,617431.7965
2017-01-10 00:00:00,617431.7965
2017-01-11 00:00:00,617431.7965
2017-01-12 00:00:00,617431.7965
2017-01-13 00:00:00,617431.7965
2017-01-14 00:00:00,617431.7965
2017-01-15 00:00:00,617431.7965
2017-01-16 00:00:00,235100
2017-01-17 00:00:00,283800
2017-01-18 00:00:00,201700
2017-01-19 00:00:00,722600
2017-01-20 00:00:00,569300
2017-01-21 00:00:00,668800
2017-01-22 00:00:00,650900
2017-01-23 00:00:00,728900
2017-01-24 00:00:00,700300
2017-01-25 00:00:00,419500
2017-01-26 00:00:00,757200
2017-01-27 00:00:00,756000
2017-01-28 00:00:00,661300
2017-01-29 00:00:00,500600
2017-02-01 00:00:00,428300
2017-02-02 00:00:00,274400
2017-02-03 00:00:00,300200
2017-02-04 00:00:00,644100
2017-02-05 00:00:00,672200
2017-02-06 00:00:00,774300
2017-02-07 00:00:00,740400
2017-02-08 00:00:00,769700
2017-02-09 00:00:00,471000
2017-02-10 00:00:00,237700
2017-02-11 00:00:00,659400
2017-02-12 00:00:00,672200
2017-02-13 00:00:00,723100
2017-02-14 00:00:00,723600
2017-02-15 00:00:00,678600
2017-02-16 00:00:00,461300
2017-02-17 00:00:00,517800
2017-02-18 00:00:00,457600
2017-02-19 00:00:00,406700
2017-02-20 00:00:00,513100
2017-02-21 00:00:00,534800
2017-02-22 00:00:00,537800
2017-02-23 00:00:00,563600
2017-02-24 00:00:00,677200
2017-02-25 00:00:00,609900
2017-02-26 00:00:00,611500
2017-02-27 00:00:00,699400
2017-02-28 00:00:00,688800
2017-03-01 00:00:00,714900
2017-03-02 00:00:00,712200
2017-03-03 00:00:00,680300
2017-03-04 00:00:00,634600
2017-03-05 00:00:00,638300
2017-03-06 00:00:00,714500
2017-03-07 00:00:00,716200
2017-03-08 00:00:00,704800
2017-03-09 00:00:00,695400
2017-03-10 00:00:00,670600
2017-03-11 00:00:00,615400
2017-03-12 00:00:00,622300
2017-03-13 00:00:00,678200
2017-03-14 00:00:00,667600
2017-03-15 00:00:00,625000
2017-03-16 00:00:00,628900
2017-03-17 00:00:00,691600
2017-03-18 00:00:00,611300
2017-03-19 00:00:00,611200
2017-03-20 00:00:00,688900
2017-03-21 00:00:00,734400
2017-03-22 00:00:00,744400
2017-03-23 00:00:00,699000
2017-03-24 00:00:00,677600
2017-03-25 00:00:00,626100
2017-03-26 00:00:00,606200
2017-03-27 00:00:00,684900
2017-03-28 00:00:00,687900
2017-03-29 00:00:00,568100
2017-03-30 00:00:00,657200
2017-03-31 00:00:00,625000
2017-04-01 00:00:00,588000
2017-04-02 00:00:00,596800
2017-04-03 00:00:00,677500
2017-04-04 00:00:00,648100
2017-04-05 00:00:00,667400
2017-04-06 00:00:00,683900
2017-04-07 00:00:00,653500
2017-04-08 00:00:00,622000
2017-04-09 00:00:00,601200
2017-04-10 00:00:00,638900
2017-04-11 00:00:00,664700
2017-04-12 00:00:00,607700
2017-04-13 00:00:00,638200
2017-04-14 00:00:00,481700
2017-04-15 00:00:00,452900
2017-04-16 00:00:00,556000
2017-04-17 00:00:00,607600
2017-04-18 00:00:00,679200
2017-04-19 00:00:00,656800
2017-04-20 00:00:00,632600
2017-04-21 00:00:00,629900
2017-04-22 00:00:00,591600
2017-04-23 00:00:00,589000
2017-04-24 00:00:00,658500
2017-04-25 00:00:00,709900
2017-04-26 00:00:00,675600
2017-04-27 00:00:00,672800
2017-04-28 00:00:00,645200
2017-04-29 00:00:00,588200
2017-04-30 00:00:00,591200
2017-05-01 00:00:00,583800
2017-05-02 00:00:00,643900
2017-05-03 00:00:00,642900
2017-05-04 00:00:00,639900
2017-05-05 00:00:00,626600
2017-05-06 00:00:00,590500
2017-05-07 00:00:00,596200
2017-05-08 00:00:00,663100
2017-05-09 00:00:00,641100
2017-05-10 00:00:00,613900
2017-05-11 00:00:00,659500
2017-05-12 00:00:00,628800
2017-05-13 00:00:00,571600
2017-05-14 00:00:00,557000
2017-05-15 00:00:00,639400
2017-05-16 00:00:00,636400
2017-05-17 00:00:00,608300
2017-05-18 00:00:00,631000
2017-05-19 00:00:00,629900
2017-05-20 00:00:00,587900
2017-05-21 00:00:00,579200
2017-05-22 00:00:00,624200
2017-05-23 00:00:00,578600
2017-05-24 00:00:00,629200
2017-05-25 00:00:00,630500
2017-05-26 00:00:00,625500
2017-05-27 00:00:00,673800
2017-05-28 00:00:00,699500
2017-05-29 00:00:00,701700
2017-05-30 00:00:00,526700
2017-05-31 00:00:00,324800
2017-06-01 00:00:00,306400
2017-06-02 00:00:00,303300
2017-06-03 00:00:00,249700
2017-06-04 00:00:00,457100
2017-06-05 00:00:00,634700
2017-06-06 00:00:00,675400
2017-06-07 00:00:00,762900
2017-06-08 00:00:00,755300
2017-06-09 00:00:00,719600
2017-06-10 00:00:00,679000
2017-06-11 00:00:00,685400
2017-06-12 00:00:00,735600
2017-06-13 00:00:00,638200
2017-06-14 00:00:00,668700
2017-06-15 00:00:00,765700
2017-06-16 00:00:00,679300
2017-06-17 00:00:00,702900
2017-06-18 00:00:00,704400
2017-06-19 00:00:00,751400
2017-06-20 00:00:00,763100
2017-06-21 00:00:00,734200
2017-06-22 00:00:00,529900
2017-06-23 00:00:00,536800
2017-06-24 00:00:00,594000
2017-06-25 00:00:00,568700
2017-06-26 00:00:00,607600
2017-06-27 00:00:00,628800
2017-06-28 00:00:00,647200
2017-06-29 00:00:00,649600
2017-06-30 00:00:00,632400
2017-07-01 00:00:00,593700
2017-07-02 00:00:00,575700
2017-07-03 00:00:00,638000
2017-07-04 00:00:00,639700
2017-07-05 00:00:00,648900
2017-07-06 00:00:00,664700
2017-07-07 00:00:00,629300
2017-07-08 00:00:00,586800
2017-07-09 00:00:00,590600
2017-07-10 00:00:00,679400
2017-07-11 00:00:00,771200
2017-07-12 00:00:00,746300
2017-07-13 00:00:00,730800
2017-07-14 00:00:00,486100
2017-07-15 00:00:00,260300
2017-07-16 00:00:00,261800
2017-07-17 00:00:00,295000
2017-07-18 00:00:00,311800
2017-07-19 00:00:00,309900
2017-07-20 00:00:00,290000
2017-07-21 00:00:00,282000
2017-07-22 00:00:00,240600
2017-07-23 00:00:00,237400
2017-07-24 00:00:00,281500
2017-07-25 00:00:00,293200
2017-07-26 00:00:00,109100
2017-07-31 00:00:00,147000
2017-08-01 00:00:00,368600
2017-08-02 00:00:00,353900
2017-08-03 00:00:00,492900
2017-08-04 00:00:00,601200
2017-08-05 00:00:00,605100
2017-08-06 00:00:00,645100
2017-08-07 00:00:00,692400
2017-08-08 00:00:00,721600
2017-08-09 00:00:00,726400
2017-08-10 00:00:00,727700
2017-08-11 00:00:00,703200
2017-08-12 00:00:00,665400
2017-08-13 00:00:00,667000
2017-08-14 00:00:00,708900
2017-08-15 00:00:00,700800
2017-08-16 00:00:00,698600
2017-08-17 00:00:00,695600
2017-08-18 00:00:00,680700
2017-08-19 00:00:00,633500
2017-08-20 00:00:00,586800
2017-08-21 00:00:00,476600
2017-08-22 00:00:00,574000
2017-08-23 00:00:00,723700
2017-08-24 00:00:00,709600
2017-08-25 00:00:00,675400
2017-08-26 00:00:00,653400
2017-08-27 00:00:00,633900
2017-08-28 00:00:00,644900
2017-08-29 00:00:00,691000
2017-08-30 00:00:00,708800
2017-08-31 00:00:00,707400
2017-09-01 00:00:00,653400
2017-09-02 00:00:00,527600
2017-09-03 00:00:00,408800
2017-09-04 00:00:00,452000
2017-09-05 00:00:00,460800
2017-09-06 00:00:00,555800
2017-09-07 00:00:00,623800
2017-09-08 00:00:00,548400
2017-09-09 00:00:00,409600
2017-09-10 00:00:00,424100
2017-09-11 00:00:00,482500
2017-09-12 00:00:00,524000
2017-09-13 00:00:00,612000
2017-09-14 00:00:00,617000
2017-09-15 00:00:00,607600
2017-09-16 00:00:00,551300
2017-09-17 00:00:00,586500
2017-09-18 00:00:00,628100
2017-09-19 00:00:00,657200
2017-09-20 00:00:00,660800
2017-09-21 00:00:00,657600
2017-09-22 00:00:00,632100
2017-09-23 00:00:00,629900
2017-09-24 00:00:00,652900
2017-09-25 00:00:00,699800
2017-09-26 00:00:00,677300
2017-09-27 00:00:00,647600
2017-09-28 00:00:00,641800
2017-09-29 00:00:00,606900
2017-09-30 00:00:00,583400
2017-10-01 00:00:00,575400
2017-10-02 00:00:00,644700
2017-10-03 00:00:00,659600
2017-10-04 00:00:00,660200
2017-10-05 00:00:00,661000
2017-10-06 00:00:00,652900
2017-10-07 00:00:00,581700
2017-10-08 00:00:00,581500
2017-10-09 00:00:00,633000
2017-10-10 00:00:00,634800
2017-10-11 00:00:00,594200
2017-10-12 00:00:00,656300
2017-10-13 00:00:00,607300
2017-10-14 00:00:00,589100
2017-10-15 00:00:00,583700
